id,name,category,category_name,target,source,severity,mitre_id,mitre_name,tactic,kill_chain,volume,rule
A1,SQL Injection (Classic),application,Application Layer Attacks,healthcare-api,suricata,9,T1190,Exploit Public-Facing Application,Initial Access,delivery,low,ET WEB_APP SQL Injection Attempt
A10,DALI Broadcast Shutdown,application,Application Layer Attacks,street-lighting,falco,9,T0831,Manipulation of Control,Impact,actions_on_objectives,low,DALI Broadcast Shutdown
A11,ONVIF PTZ Hijacking,application,Application Layer Attacks,traffic-camera,falco,8,T0831,Manipulation of Control,Impact,actions_on_objectives,low,ONVIF PTZ Hijacking
A12,MQTT Topic Traversal,application,Application Layer Attacks,mqtt-broker,suricata,7,T1083,File and Directory Discovery,Discovery,reconnaissance,medium,MQTT Topic Traversal
A2,SQL Injection (Time-based),application,Application Layer Attacks,healthcare-api,suricata,9,T1190,Exploit Public-Facing Application,Initial Access,delivery,low,ET WEB_APP SQL Injection Time-Based
A3,SQL Injection (Union),application,Application Layer Attacks,parking-system,suricata,8,T1190,Exploit Public-Facing Application,Initial Access,delivery,low,ET WEB_APP SQL Injection UNION
A4,Command Injection,application,Application Layer Attacks,traffic-camera,falco,9,T1059.004,Unix Shell,Execution,exploitation,low,Command Injection in Container
A5,SSTI (Jinja2),application,Application Layer Attacks,healthcare-api,falco,9,T1059.006,Python,Execution,exploitation,low,Server-Side Template Injection
A6,XXE Injection,application,Application Layer Attacks,traffic-camera,suricata,8,T1212,Exploitation for Credential Access,Credential Access,exploitation,low,ET WEB_APP XXE Injection
A7,API Parameter Tampering,application,Application Layer Attacks,parking-system,falco,7,T1565.001,Stored Data Manipulation,Impact,actions_on_objectives,low,API Parameter Tampering
A8,FHIR Resource Manipulation,application,Application Layer Attacks,healthcare-api,falco,10,T1565.001,Stored Data Manipulation,Impact,actions_on_objectives,low,FHIR Resource Manipulation
A9,Modbus Function Code Abuse,application,Application Layer Attacks,env-sensor,falco,9,T0831,Manipulation of Control,Impact,actions_on_objectives,low,Modbus Unauthorized Write
C1,Reverse Shell Spawn,container,Container/Runtime Attacks,traffic-camera,falco,9,T1059.004,Unix Shell,Execution,exploitation,low,Terminal shell in container
C2,Cryptominer Deployment,container,Container/Runtime Attacks,env-sensor,falco,9,T1496,Resource Hijacking,Impact,actions_on_objectives,low,Detect crypto miners using the Stratum protocol
C3,Sensitive File Read (/etc/shadow),container,Container/Runtime Attacks,healthcare-api,falco,9,T1552.001,Credentials In Files,Credential Access,exploitation,low,Read sensitive file untrusted
C4,Container Escape (Privileged),container,Container/Runtime Attacks,healthcare-api,falco,10,T1611,Escape to Host,Privilege Escalation,exploitation,low,Launch Privileged Container
C5,K8s API Access,container,Container/Runtime Attacks,parking-system,falco,8,T1552.001,Credentials In Files,Credential Access,exploitation,low,Contact K8s API Server From Container
C6,Binary Download & Execute,container,Container/Runtime Attacks,traffic-camera,falco,8,T1105,Ingress Tool Transfer,Command and Control,command_and_control,low,Ingress Tool Transfer
C7,Dynamic Code Execution,container,Container/Runtime Attacks,healthcare-api,falco,8,T1059.006,Python,Execution,exploitation,low,Dynamic Code Execution
C8,Environment Variable Stealing,container,Container/Runtime Attacks,healthcare-api,falco,7,T1552,Unsecured Credentials,Credential Access,exploitation,low,Read Process Environment
D1,Patient Record Exfiltration,data,Data-Focused Attacks,healthcare-api,falco,10,T1041,Exfiltration Over C2 Channel,Exfiltration,actions_on_objectives,medium,Data Exfiltration PHI
D2,License Plate Harvesting,data,Data-Focused Attacks,traffic-camera,falco,9,T1041,Exfiltration Over C2 Channel,Exfiltration,actions_on_objectives,medium,ANPR Data Exfiltration
D3,Environmental Data Tampering,data,Data-Focused Attacks,env-sensor,falco,8,T1565.001,Stored Data Manipulation,Impact,actions_on_objectives,low,Environmental Data Tampering
D4,Ransomware Simulation,data,Data-Focused Attacks,healthcare-api,falco,10,T1486,Data Encrypted for Impact,Impact,actions_on_objectives,low,Ransomware Detected
